迴響屬性,迴響名稱,,攻擊力,HP,暴擊率,暴擊傷害,中攻擊機率,重攻擊機率,破釜,從容,共鳴傷害,共鳴傷害上限,調律傷害,調律傷害上限,,攻擊,HP,暴擊率,暴擊傷害,中攻擊機率,重攻擊機率,破釜,從容,共鳴傷害,共鳴傷害上限,調律傷害,調律傷害上限,,攻擊,HP,暴擊率,暴擊傷害,中攻擊機率,重攻擊機率,破釜,從容,共鳴傷害,共鳴傷害上限,調律傷害,調律傷害上限,,攻擊,生命
/,火,泰坦系列,火,,,,,,,,,,,,諸神系列,火,,,,,,,,,,,,星垣系列,火,,,,,,,,,,,,基礎屬性,火,
火,紅蓮阿爾法Ⅱ型,,10.00%,10.00%,4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,525
火,紅蓮貝塔Ⅱ型,,15.00%,,,,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,495
火,紅蓮伽瑪Ⅱ型,,22.00%,,,,3.80%,3.80%,,,,,,,,,,,,,,,,,,,,,,-12.80%,,,,,,,,,,,,2523,455
火,初次演出成功紀念,,,,,,,,,,,,,,,12.00%,12.00%,2.00%,,,,,,,,,,,,,,,,,,,,,,,,2618,572
火,鍛造時間,,,,,,,,,,,,,,,,,6.50%,,,,,15.00%,,,,,,,,,,,,,,,,,,,2519,480
火,諾姆的爆炸日常,,,,,,,,,,,,,,,,,,,,,18.00%,,,,,,,,,,,,,,,,,,,,2108,457
火,狂亂之爪,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00%,,,,,,,,,,,,,2648,416
/,水,,水,,,,,,,,,,,,,水,,,,,,,,,,,,,水,,,,,,,,,,,,,水,
水,紺碧阿爾法Ⅱ型,,18.00%,,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2628,525
水,紺碧貝塔Ⅱ型,,,22.00%,,,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2673,555
水,紺碧伽瑪Ⅱ型,,10.00%,10.00%,6.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523,555
水,愛麗絲的奇妙旅途,,,,,,,,,,,,,,,24.00%,,6.50%,,,,,,,,,,,,,,,,,,,,,,,,3353,478
水,森林中的吟遊詩人,,,,,,,,,,,,,,,12.00%,,,,,,,,8.00%,,,,,,,,,,,,,,10.00%,,,,2623,475
水,執劍的信念,,,,,,,,,,,,,,,,22.00%,,,,,,15.00%,,,,,,,,,,,,,,,,,,,2523,555
水,學術交鋒,,,,,,,,,,,,,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,2130,385
水,夏日筆記,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00%,,,,6.50%,,,,,,,,,2033,412
/,土,,土,,,,,,,,,,,,,地,,,,,,,,,,,,,地,,,,,,,,,,,,,地,
土,鋼岩阿爾法Ⅱ型,,16.00%,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2626,551
土,鋼岩貝塔Ⅱ型,,,22.00%,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2528,555
土,鋼岩伽瑪Ⅱ型,,18.00%,,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,525
土,宣誓之日,,,,,,,,,,,,,,,16.00%,,,,,,14.00%,,,,,,,,,,,,,,,,,,,,2628,470
土,少女的日常,,,,,,,,,,,,,,,12.00%,12.00%,,,3.80%,3.80%,,,,,,,,,,,,,,,,,,,,,2508,495
土,淑女們的棋盤對決,,,,,,,,,,,,,,,,,,,,,,,,,16.40%,,,,,,,,,,,,,,,,2618,485
/,風,,風,,,,,,,,,,,,,風,,,,,,,,,,,,,風,,,,,,,,,,,,,風,
風,暴風阿爾法Ⅱ型,,15.00%,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573,495
風,暴風貝塔Ⅱ型,,16.00%,,,,,,,,,,13.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,473
風,暴風伽瑪Ⅱ型,,18.00%,,,,3.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,555
風,摯友來信,,,,,,,,,,,,,,,15.00%,,,,3.00%,3.00%,,,,,,,,,,,,,,,,,,,,,2628,475
風,短暫的休息,,,,,,,,,,,,,,,12.00%,12.00%,,,,,,,,,18.00%,,,,,,,,,,,,,,,,2528,495
風,春之搖籃曲,,,,,,,,,,,,,,,,,,,,,,15.00%,,,16.40%,2.80%,,,,,,,,,,,,,,,3253,485
風,夜曲徜徉,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.00%,,,,,,,,,,,,,2648,416
風,一日假期,,,,,,,,,,,,,,,16.00%,,,,,,,,,,,,,,,,,,,,,,,,,,2608,537
/,光,,光,,,,,,,,,,,,,光,,,,,,,,,,,,,光,,,,,,,,,,,,,光,
光,輝煌阿爾法Ⅱ型,,15.00%,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,595
光,輝煌貝塔Ⅱ型,,18.00%,,,,,,,,6.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2630,525
光,輝煌伽瑪Ⅱ型,,10.00%,10.00%,,,,,,,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2623,575
光,遺跡漫步,,,,,,,,,,,,,,,15.00%,,,,3.00%,3.00%,,,,,,,,,,,,,,,,,,,,,2628,475
光,落櫻之宴,,,,,,,,,,,,,,,,22.00%,,,,,,15.00%,,,,,,,,,,,,,,,,,,,2523,503
光,作戰會議,,,,,,,,,,,,,,,,,,,5.10%,5.10%,,,,,,,,,,,,,,,,,,,,,2630,465
光,決勝一局,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00%,,,,6.50%,,,,,,,,,2482,461
/,暗,,暗,,,,,,,,,,,,,暗,,,,,,,,,,,,,暗,,,,,,,,,,,,,暗,
暗,宵暗阿爾法Ⅱ型,,18.00%,12.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2423,475
暗,宵暗貝塔Ⅱ型,,,,,,3.80%,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2408,473
暗,宵暗伽瑪Ⅱ型,,18.00%,,,,,,8.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2573,495
暗,驚魂一游,,,,,,,,,,,,,,,24.00%,6.50%,,,,,,,,,,,,,,,,,,,,,,,,,3055,887
暗,墜落天使,,,,,,,,,,,,,,,12.00%,,,,,,,,8.00%,,,,,,,,,,,,,,10.00%,,,,2623,475
暗,王座之上,,,,,,,,,,,,,,,12.00%,12.00%,,,,,10.00%,,,,,,,,,,,,,,,,,,,,2628,470
暗,狩獵間隙,,,,,,,,,,,,,,,,,,,,,,16.98%,,,,,,,,,,,,,,,,,,,2608,537